,0,1
387,386,National Research Tomsk Polytechnic University
388,388,National Sun Yat-sen University
389,388,Universität Mannheim
390,390,United Arab Emirates University
391,391,Dublin City University
392,391,National Central University
393,391,University of Utah
394,394,"University of Colorado, Denver"
395,395,The American University in Cairo
396,395,Illinois Institute of Technology
397,397,HUFS - Hankuk (Korea) University of Foreign Studies
398,398,"Goldsmiths, University of London"
399,398,Johannes Gutenberg Universität Mainz
400,398,Taipei Medical University
401,401-410,Leibniz Universität Hannover
402,401-410,National Technical University of Athens
403,401-410,Peter the Great Saint-Petersburg Polytechnic University
404,401-410,Ruhr-Universität Bochum
405,401-410,Universidad Externado de Colombia
406,401-410,Gadjah Mada University
407,401-410,University of Coimbra
408,401-410,V. N. Karazin Kharkiv National University
409,401-410,Vilnius University
410,401-410,Washington State University
411,411-420,American University of Sharjah
412,411-420,Arabian Gulf University
413,411-420,Brandeis University
414,411-420,Kazakh National Technical University named after K.I.Satpaev
415,411-420,Taras Shevchenko National University of Kyiv
416,411-420,Universidad de Costa Rica
417,411-420,Aix-Marseille University
418,411-420,University of Oulu
419,411-420,University of Warsaw
420,411-420,Wake Forest University
421,421-430,Bilkent University
422,421-430,Hitotsubashi University
423,421-430,Shanghai University
424,421-430,Swinburne University of Technology
425,421-430,The University of Georgia
426,421-430,University of Pisa
427,421-430,University of Connecticut
428,421-430,University of Delaware
429,421-430,University of Iowa
430,421-430,University of Texas Dallas
431,431-440,Bond University
432,431-440,Christian-Albrechts-University zu Kiel
433,431-440,Concordia University
434,431-440,Florida State University
435,431-440,Indian Institute of Technology Roorkee (IITR)
436,431-440,Koc University
437,431-440,National University of Sciences And Technology (NUST) Islamabad
438,431-440,Pontificia Universidad Católica del Perú
439,431-440,Swansea University
440,431-440,Universidad de Palermo (UP)
441,431-440,Xiamen University
442,441-450,Auckland University of Technology (AUT)
443,441-450,Bangor University
444,441-450,Kazan (Volga region) Federal University
445,441-450,Oregon State University
446,441-450,
447,441-450,Sogang University
448,441-450,University of Trento
449,441-450,Université Paris Descartes
450,441-450,York University
451,451-460,Beijing Institute of Technology
452,451-460,Institut National des Sciences Appliquées de Lyon (INSA)
453,451-460,Khalifa University
454,451-460,Sultan Qaboos University
455,451-460,Tulane University
456,451-460,Universidad de Santiago de Chile (USACH)
457,451-460,University of Eastern Finland
458,451-460,University of Saskatchewan
459,451-460,University of Stirling
460,451-460,"The University of Tennessee, Knoxville"
461,461-470,Jagiellonian University
462,461-470,Martin-Luther-Universität Halle-Wittenberg
463,461-470,Pontificia Universidad Javeriana
464,461-470,Sabanci University
465,461-470,Universidad de Zaragoza
466,461-470,University of Florence
467,461-470,"University of Rome University of Rome ""Tor Vergata"""
468,461-470,Universität Potsdam
469,461-470,University of New Mexico
470,461-470,Wayne State University
471,471-480,American University
472,471-480,Dongguk University
473,471-480,Huazhong University of Science and Technology
474,471-480,Iowa State University
475,471-480,Johannes Kepler University Linz
476,471-480,Karl-Franzens-Universitaet Graz
477,471-480,King Khalid University
478,471-480,Middle East Technical University
479,471-480,Sharif University of Technology
480,471-480,Tianjin University
481,481-490,Aberystwyth University
482,481-490,Cairo University
483,481-490,Chang Gung University
484,481-490,Colorado State University
485,481-490,Julius-Maximilians-Universität Würzburg
486,481-490,Renmin (People's) University of China
487,481-490,Università Cattolica del Sacro Cuore
488,481-490,University of Naples - Federico II
489,481-490,Universität Bremen
490,481-490,University of Delhi
491,481-490,"University of Maryland, Baltimore County"
492,491-500,Bogaziçi Üniversitesi
493,491-500,Czech Technical University in Prague
494,491-500,Jilin University
495,491-500,Kazakh National Pedagogical University named after Abay
496,491-500,Politécnica de Madrid
497,491-500,Pusan National University
498,491-500,UNESP
499,491-500,Saint Joseph University of Beirut (USJ)
